movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Aspen Extreme,1993-01,Romantic Comedy,PG-13,7843388.0,15970955.0
Homeward Bound: The Incredible Journey,1993-02,Adventure,G,41833324.0,85182343.0
The Cemetery Club,1993-02,Comedy,PG-13,5583621.0,11369541.0
Swing Kids,1993-03,Musical,PG-13,5632086.0,11468231.0
A Far Off Place,1993-03,Adventure,PG,12890752.0,26248558.0
Born Yesterday,1993-03,Romantic Comedy,PG,17760754.0,36165012.0
The Adventures of Huck Finn,1993-04,Adventure,PG,24103594.0,49080505.0
Bound by Honor,1993-04,,R,4496583.0,9156084.0
Indian Summer,1993-04,Comedy,R,14717851.0,29968953.0
Super Mario Bros.,1993-05,Action,PG,20844907.0,42445058.0
Guilty as Sin,1993-06,Thriller/Suspense,R,22622537.0,46064723.0
Life With Mikey,1993-06,Comedy,PG,12349549.0,25146538.0
What's Love Got to Do With It,1993-06,Drama,R,39100956.0,79618610.0
Son in Law,1993-07,Comedy,PG-13,25989889.0,52921433.0
Hocus Pocus,1993-07,Comedy,PG,39360491.0,80147079.0
Another Stakeout,1993-07,Comedy,PG-13,20107504.0,40943541.0
My Boyfriend's Back,1993-08,,PG-13,3218882.0,6554384.0
Father Hood,1993-08,,PG-13,3268203.0,6654819.0
The Joy Luck Club,1993-09,Drama,R,32790064.0,66768171.0
Money for Nothing,1993-09,Comedy,R,1044824.0,2127496.0
The Program,1993-09,Action,R,23042200.0,46919256.0
Cool Runnings,1993-10,Comedy,PG,68856263.0,140392731.0
The Nightmare Before Christmas,1993-10,Musical,PG,50408318.0,100026637.0
The Three Musketeers,1993-11,Adventure,PG,53661805.0,109310377.0
Sister Act 2 Back in the Habit,1993-12,Comedy,PG,57319029.0,116965668.0
Tombstone,1993-12,Western,R,56505065.0,115781734.0
The Air Up There,1994-01,Comedy,PG,20782439.0,42940186.0
Cabin Boy,1994-01,Comedy,PG-13,3469493.0,7168577.0
Iron Will,1994-01,Drama,PG,20623071.0,42610902.0
Red Rock West,1994-01,,R,2502551.0,5170709.0
Blank Check,1994-02,Comedy,PG,30573770.0,63170804.0
Angie,1994-03,Comedy,R,9252349.0,19116981.0
The Ref,1994-03,Comedy,R,11325885.0,23401275.0
D2: The Mighty Ducks,1994-03,Comedy,PG,45604206.0,94226333.0
Holy Matrimony,1994-04,Comedy,,713234.0,1473665.0
White Fang 2: Myth of the White Wolf,1994-04,Adventure,PG,8752399.0,18083994.0
The Inkwell,1994-04,Comedy,R,8864699.0,18316030.0
When a Man Loves a Woman,1994-04,Drama,R,50021959.0,103354194.0
3 Ninjas Kick Back,1994-05,Action,PG,11744960.0,24267154.0
